tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,parent_tour_id
1690,6726,191006818,work,mandatory,23937.0,31955,7.0,7.0,SHARED3FREE,0
1691,6726,191006818,eatout,non_mandatory,20174.0,23937,11.0,11.0,SHARED3FREE,1690
1692,6726,191006818,eatout,non_mandatory,30389.0,31955,20.0,20.0,SHARED2FREE,0
1693,6727,191006828,work,mandatory,38254.0,37743,8.0,8.0,DRIVEALONEFREE,0
1694,6728,191006828,work,mandatory,7217.0,37456,7.0,7.0,WALK_FRY,0
1695,6729,191006841,work,mandatory,21190.0,34073,7.0,7.0,BIKE,0
1696,6730,191006841,escort,non_mandatory,22129.0,34073,9.0,9.0,SHARED2FREE,0
1697,6730,191006841,escort,non_mandatory,745.0,34073,16.0,16.0,SHARED2FREE,0
1698,6731,191006841,school,mandatory,22129.0,34073,9.0,9.0,SHARED2FREE,0
1699,6735,191006865,work,mandatory,49790.0,47856,7.0,7.0,SHARED2FREE,0
1700,6735,191006865,work,mandatory,49790.0,47856,12.0,12.0,SHARED3FREE,0
1706,6739,191006877,school,mandatory,8224.0,8224,15.0,15.0,SHARED2FREE,0
1702,6739,191006877,escort,non_mandatory,7939.0,8224,8.0,8.0,SHARED2FREE,0
1703,6739,191006877,othmaint,non_mandatory,7939.0,8224,8.0,8.0,DRIVEALONEFREE,0
1704,6739,191006877,othmaint,non_mandatory,27498.0,8224,9.0,9.0,DRIVEALONEFREE,0
1705,6739,191006877,othmaint,non_mandatory,33592.0,8224,13.0,13.0,DRIVEALONEFREE,0
1707,6745,191006938,work,mandatory,3188.0,7963,7.0,7.0,WALK_LOC,0
1708,6745,191006938,social,non_mandatory,10330.0,7963,19.0,19.0,WALK,0
1709,6748,191006981,work,mandatory,3390.0,30128,9.0,9.0,BIKE,0
1711,6749,191006981,social,non_mandatory,23673.0,30128,9.0,9.0,SHARED2FREE,0
1712,6749,191006981,social,non_mandatory,11297.0,30128,20.0,20.0,SHARED2FREE,0
1713,6753,191007024,work,mandatory,9417.0,63807,7.0,7.0,DRIVEALONEFREE,0
1714,6754,191007024,work,mandatory,7995.0,63807,6.0,6.0,DRIVEALONEFREE,0
1715,6763,191007249,work,mandatory,9522.0,25053,6.0,6.0,DRIVEALONEFREE,0
1717,6767,191007252,work,mandatory,66016.0,25327,6.0,6.0,SHARED3FREE,0
1718,6767,191007252,social,non_mandatory,25661.0,25327,17.0,17.0,WALK_LOC,0
1719,6774,191007398,work,mandatory,66016.0,22080,5.0,5.0,DRIVEALONEFREE,0
1721,6779,191007500,othmaint,non_mandatory,38247.0,36911,11.0,11.0,DRIVEALONEFREE,0
1722,6779,191007500,othmaint,non_mandatory,36911.0,36911,13.0,13.0,WALK,0
1720,6779,191007500,social,non_mandatory,36911.0,36911,9.0,9.0,WALK,0
1724,6779,191007500,social,non_mandatory,36911.0,36911,15.0,15.0,SHARED3FREE,0
1725,6779,191007500,eatout,joint,37561.0,36911,19.0,19.0,SHARED2FREE,0
1726,6780,191007500,social,non_mandatory,37430.0,36911,10.0,10.0,DRIVEALONEFREE,0
1727,6780,191007500,social,non_mandatory,36911.0,36911,15.0,15.0,WALK,0
1732,6782,191007500,othmaint,non_mandatory,40171.0,36911,18.0,18.0,DRIVEALONEFREE,0
1731,6782,191007500,social,non_mandatory,36911.0,36911,16.0,16.0,WALK,0
1737,6785,191007506,work,mandatory,52962.0,41777,6.0,6.0,DRIVEALONEFREE,0
1738,6785,191007506,work,mandatory,48749.0,41777,10.0,10.0,DRIVEALONEFREE,0
1739,6791,191007580,work,mandatory,35047.0,31511,9.0,9.0,WALK_LOC,0
1741,6791,191007580,shopping,non_mandatory,19540.0,31511,19.0,19.0,BIKE,0
1740,6791,191007580,social,non_mandatory,29875.0,31511,18.0,18.0,WALK,0
1742,6799,191007660,work,mandatory,13386.0,4863,6.0,6.0,WALK,0
1743,6803,191007689,shopping,non_mandatory,3894.0,6153,15.0,15.0,WALK_LOC,0
1745,6812,191007778,work,mandatory,3634.0,24029,8.0,8.0,WALK,0
1748,6828,191008034,work,mandatory,34505.0,26139,7.0,7.0,DRIVEALONEFREE,0
1749,6828,191008034,work,mandatory,10537.0,26139,13.0,13.0,DRIVEALONEFREE,0
1750,6828,191008034,escort,non_mandatory,28304.0,26139,16.0,16.0,DRIVEALONEFREE,0
1752,6828,191008034,escort,non_mandatory,8743.0,26139,19.0,19.0,DRIVEALONEFREE,0
1751,6828,191008034,social,non_mandatory,5142.0,26139,18.0,18.0,WALK,0
1753,6841,191008224,work,mandatory,11321.0,54590,7.0,7.0,SHARED3FREE,0
1754,6842,191008224,othmaint,joint,11321.0,54590,7.0,7.0,SHARED3FREE,0
1757,6854,191008341,school,mandatory,12926.0,27201,14.0,14.0,WALK,0
1756,6854,191008341,othmaint,non_mandatory,59656.0,21820,9.0,9.0,DRIVEALONEFREE,0
1762,6855,191008349,eatout,non_mandatory,32043.0,5621,18.0,18.0,SHARED2FREE,0
1758,6855,191008349,escort,non_mandatory,28361.0,5621,8.0,8.0,SHARED2FREE,0
1759,6855,191008349,othmaint,non_mandatory,7995.0,5621,11.0,11.0,DRIVEALONEFREE,0
1761,6855,191008349,othmaint,non_mandatory,16013.0,5621,15.0,15.0,DRIVEALONEFREE,0
1760,6855,191008349,social,non_mandatory,28361.0,5621,12.0,12.0,DRIVEALONEFREE,0
1763,6862,191008498,work,mandatory,3190.0,16013,8.0,8.0,WALK_LOC,0
1764,6862,191008498,othmaint,non_mandatory,7755.0,16013,18.0,18.0,WALK_LOC,0
1765,6863,191008498,othmaint,non_mandatory,10268.0,16013,8.0,8.0,WALK_LOC,0
1766,6863,191008498,social,non_mandatory,7755.0,16013,18.0,18.0,WALK_LOC,0
1767,6865,191008543,work,mandatory,28445.0,18698,6.0,6.0,DRIVEALONEFREE,0
