tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
327301,23560,7982,191022171,work,mandatory,33101.0,42781,5.0,5.0,WALK_LR,0,,,0,no_subtours,0out_0in
327547,23720,7988,191022185,work,mandatory,2900.0,14955,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_1in
327588,23740,7989,191022185,work,mandatory,12621.0,14955,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
327670,23760,7991,191022248,work,mandatory,54222.0,10977,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,2out_0in
327711,23770,7992,191022248,work,mandatory,5982.0,10977,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,0out_1in
327712,23780,7992,191022248,work,mandatory,31789.0,5982,8.0,8.0,SHARED2FREE,23770,,,54,no_subtours,2out_1in
327916,23810,7997,191022287,work,mandatory,27135.0,23975,9.0,9.0,BIKE,0,,,70,no_subtours,2out_0in
327957,23820,7998,191022287,work,mandatory,17735.0,23975,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
328031,23840,8000,191022301,school,mandatory,17735.0,25327,10.0,10.0,WALK_LOC,0,,,85,,1out_0in
328613,23870,8014,191022628,work,mandatory,810.0,33549,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
328614,23880,8014,191022628,work,mandatory,810.0,33549,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,2out_0in
329269,23940,8030,191022844,work,mandatory,2731.0,28362,8.0,8.0,WALK_LOC,0,,,54,no_subtours,1out_0in
329392,23970,8033,191022879,work,mandatory,56296.0,29978,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
329433,23990,8034,191022879,work,mandatory,14261.0,29978,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
329925,24020,8046,191023011,work,mandatory,12601.0,22933,8.0,8.0,WALK_LOC,0,,,54,no_subtours,2out_3in
330007,24030,8048,191023021,work,mandatory,9522.0,22441,6.0,6.0,WALK_LOC,0,,,19,no_subtours,1out_0in
330950,24070,8071,191023318,work,mandatory,33089.0,24041,8.0,8.0,WALK_FRY,0,,,54,no_subtours,0out_2in
331606,24090,8087,191023584,work,mandatory,28335.0,5154,10.0,10.0,WALK_LOC,0,,,85,no_subtours,0out_0in
332590,24130,8111,191024054,work,mandatory,26814.0,27201,10.0,10.0,WALK_LOC,0,,,85,no_subtours,0out_0in
333123,24200,8124,191024225,work,mandatory,27420.0,21959,7.0,7.0,WALK_LOC,0,,,37,no_subtours,1out_1in
333738,24310,8139,191024397,work,mandatory,29391.0,15683,9.0,9.0,WALK,0,,,70,no_subtours,0out_3in
334353,24380,8154,191024553,work,mandatory,17735.0,16421,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
