tour_id,household_id,participant_num,participant_id,person_id
1399,17153104,1,13991,6040
1399,17153104,2,13992,6041
1442,191000396,2,14422,6201
1442,191000396,3,14423,6202
1446,191000511,2,14462,6216
1446,191000511,4,14464,6218
1479,191001429,1,14791,6291
1479,191001429,3,14793,6293
1479,191001429,4,14794,6294
1491,191001755,1,14911,6321
1491,191001755,2,14912,6322
1540,191003031,1,15401,6394
1540,191003031,5,15405,6396
1577,191003855,1,15771,6471
1577,191003855,4,15774,6473
1576,191003855,1,15761,6471
1576,191003855,4,15764,6473
1589,191004013,2,15892,6486
1589,191004013,3,15893,6487
1589,191004013,4,15894,6488
1595,191004031,1,15951,6492
1595,191004031,2,15952,6493
1595,191004031,3,15953,6494
1595,191004031,4,15954,6495
1595,191004031,6,15956,6497
1614,191004408,1,16141,6524
1614,191004408,2,16142,6525
1633,191004973,1,16331,6586
1633,191004973,2,16332,6587
1638,191005127,1,16381,6595
1638,191005127,2,16382,6596
1662,191005819,2,16622,6648
1662,191005819,3,16623,6649
1662,191005819,4,16624,6650
1744,191007500,1,17441,6779
1744,191007500,2,17442,6780
1773,191008224,2,17732,6842
1773,191008224,3,17733,6843
1792,191008702,1,17921,6875
1792,191008702,3,17923,6877
1856,191009807,1,18561,6982
1856,191009807,2,18562,6983
1878,191010405,2,18782,7024
1878,191010405,3,18783,7025
1905,191011470,2,19052,7107
1905,191011470,3,19053,7108
1955,191012685,1,19551,7208
1955,191012685,3,19553,7210
2005,191013965,1,20051,7321
2005,191013965,3,20053,7323
2015,191013989,1,20151,7325
2015,191013989,2,20152,7326
2043,191014836,3,20433,7385
2043,191014836,4,20434,7386
2056,191015234,1,20561,7412
2056,191015234,2,20562,7413
2128,191016902,1,21281,7525
2128,191016902,2,21282,7526
2146,191017353,1,21461,7555
2146,191017353,2,21462,7556
2158,191017590,1,21581,7583
2158,191017590,2,21582,7584
2172,191017994,1,21721,7608
2172,191017994,3,21723,7610
2172,191017994,4,21724,7611
2201,191018362,2,22012,7649
2201,191018362,4,22014,7651
2219,191018738,2,22192,7679
2219,191018738,3,22193,7680
2219,191018738,4,22194,7681
2279,191020003,2,22792,7789
2279,191020003,3,22793,7790
2299,191020612,1,22991,7839
2299,191020612,4,22994,7841
2300,191020612,1,23001,7839
2300,191020612,4,23004,7841
2313,191020747,1,23131,7848
2313,191020747,2,23132,7849
2342,191021299,1,23421,7900
2342,191021299,3,23423,7902
2342,191021299,4,23424,7903
2343,191021299,2,23432,7901
2343,191021299,3,23433,7902
2343,191021299,4,23434,7903
2378,191022171,1,23781,7983
2378,191022171,2,23782,7984
2378,191022171,6,23786,7987
2420,191022879,1,24201,8034
2420,191022879,3,24203,8036
2437,191024054,1,24371,8111
2437,191024054,2,24372,8112
2518,191025482,2,25182,8235
2518,191025482,3,25183,8236
2517,191025482,2,25172,8235
2517,191025482,3,25173,8236
2620,191028611,3,26203,8477
2620,191028611,4,26204,8478
2684,191029740,1,26841,8587
2684,191029740,3,26843,8589
2690,191029827,1,26901,8591
2690,191029827,2,26902,8592
2784,191032252,2,27842,8802
2784,191032252,3,27843,8803
2824,191033337,1,28241,8878
2824,191033337,2,28242,8879
2853,191034124,2,28532,8940
2853,191034124,3,28533,8941
2852,191034124,2,28522,8940
2852,191034124,3,28523,8941
2906,191036219,3,29063,9075
2906,191036219,4,29064,9076
2906,191036219,5,29065,9077
2938,191037223,1,29381,9156
2938,191037223,3,29383,9157
2972,191037900,1,29721,9207
2972,191037900,2,29722,9208
2994,191038189,4,29944,9233
2994,191038189,5,29945,9234
3144,191043773,2,31442,9623
3144,191043773,3,31443,9624
3173,191044941,1,31731,9705
3173,191044941,3,31733,9707
3174,191044941,1,31741,9705
3174,191044941,3,31743,9707
3210,191046475,1,32101,9801
3210,191046475,2,32102,9802
3223,191047067,1,32231,9838
3223,191047067,2,32232,9839
3223,191047067,3,32233,9840
3251,191047667,3,32513,9910
3251,191047667,4,32514,9911
3255,191047698,1,32551,9915
3255,191047698,3,32553,9917
3255,191047698,4,32554,9918
3308,191048987,1,33081,10047
3308,191048987,4,33084,10050
3308,191048987,5,33085,10051
3312,191049022,2,33122,10054
3312,191049022,3,33123,10055
3372,191050791,1,33721,10214
3372,191050791,2,33722,10215
3387,191051415,2,33872,10254
3387,191051415,4,33874,10256
3395,191051520,1,33951,10265
3395,191051520,2,33952,10266
3404,191051715,2,34042,10290
3404,191051715,3,34043,10291
3499,192003096,3,34993,10626
3499,192003096,4,34994,10627
3550,192007369,1,35501,10915
3550,192007369,3,35503,10917
3551,192007369,1,35511,10915
3551,192007369,2,35512,10916
3551,192007369,3,35513,10917
3637,192016109,1,36371,11391
3637,192016109,2,36372,11392
3656,192017305,1,36561,11509
3656,192017305,2,36562,11510
