household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
735,49395,225000,5,1,2,2
736,36476,42500,1,1,1,1
737,48694,42500,2,1,1,1
738,38479,-1,2,1,2,0
739,37090,225000,2,1,5,2
740,52773,-1,4,1,1,2
742,49995,42500,7,1,2,1
743,47909,87500,1,1,1,1
744,37208,125000,2,1,1,2
745,41477,42500,1,1,1,1
746,43036,42500,3,1,0,1
747,36655,125000,3,1,2,2
748,36667,125000,5,1,2,1
749,36371,42500,1,1,1,0
750,52800,42500,2,1,2,1
751,47842,62500,3,1,2,2
752,49467,125000,2,1,2,2
753,51351,-1,4,1,4,2
754,35852,87500,2,1,2,2
755,45970,175000,3,1,3,3
756,50008,125000,4,1,4,3
757,49738,87500,2,1,1,1
758,37809,250000,4,1,2,1
759,44012,125000,4,1,2,2
760,45128,87500,2,1,1,2
761,48582,30000,1,1,1,0
762,50674,-1,2,1,2,0
763,54767,125000,4,1,3,1
764,40576,5000,6,1,0,1
765,39155,125000,2,1,2,0
766,36893,30000,2,1,2,2
767,41503,250000,2,1,3,0
768,45958,62500,1,1,2,0
769,50312,125000,2,1,3,1
770,41434,175000,2,1,2,1
771,41449,87500,2,1,2,2
772,50803,62500,2,1,1,1
773,52540,225000,1,1,2,1
774,54335,87500,2,1,4,2
775,39648,175000,2,1,2,0
776,39199,87500,1,1,1,1
777,43885,62500,4,1,2,3
778,50907,62500,4,1,2,2
779,44388,30000,1,1,1,1
780,46329,17500,1,1,1,1
781,53174,62500,2,1,3,2
782,38567,87500,2,1,2,0
783,42002,125000,2,1,2,2
784,37196,-1,2,1,2,2
785,52402,17500,3,1,2,2
786,46571,17500,3,1,1,2
787,47856,87500,1,1,1,1
788,51946,17500,2,1,0,1
789,52937,30000,1,1,1,1
790,47613,87500,1,1,1,1
791,48576,17500,3,1,2,1
792,12656,175000,1,1,1,1
793,12656,-1,2,1,1,1
794,12656,125000,1,1,1,1
795,36766,-1,4,1,2,1
796,51516,125000,5,1,2,2
797,54115,250000,2,1,2,2
798,42024,87500,2,1,2,1
799,41777,175000,2,1,2,2
800,41189,62500,2,1,2,2
801,50729,62500,1,1,1,1
802,45565,-1,2,1,1,1
803,49468,87500,2,1,3,1
804,53844,62500,1,1,1,0
805,42282,62500,2,1,2,1
