household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
216,33264,87500,2,1,1,2,0_tours
217,33264,125000,2,1,1,2,0_tours
218,21331,225000,1,1,1,1,0_tours
219,3731,225000,3,1,1,1,0_tours
220,21464,17500,1,1,0,1,0_tours
221,58197,225000,4,1,2,1,0_tours
222,8427,175000,1,1,1,1,0_tours
223,11108,125000,3,1,1,2,0_tours
224,27217,30000,2,1,1,1,0_tours
225,27217,62500,1,1,1,1,0_tours
226,15433,62500,2,1,1,1,0_tours
227,15433,17500,1,1,1,0,0_tours
228,7699,125000,2,1,1,1,0_tours
229,33525,87500,4,1,3,1,1_Main
230,34887,175000,3,1,1,1,0_tours
231,34887,125000,1,1,1,1,0_tours
232,22123,42500,2,1,2,2,0_tours
233,23087,225000,4,1,3,2,0_tours
234,11613,42500,1,1,1,1,0_tours
235,4147,250000,1,1,0,1,0_tours
236,4147,17500,1,1,1,1,0_tours
237,4147,250000,2,1,1,2,0_tours
238,4147,225000,1,1,1,1,0_tours
239,4147,87500,1,1,0,1,0_tours
240,21444,125000,2,1,1,1,0_tours
241,21818,87500,1,1,1,1,0_tours
242,5354,125000,2,1,1,0,0_tours
243,55001,175000,3,1,2,2,0_tours
244,16218,225000,2,1,2,2,0_tours
245,20040,125000,4,1,2,2,0_tours
246,58252,42500,3,1,2,1,0_tours
247,1189,225000,2,1,3,2,0_tours
248,12600,175000,2,1,2,2,0_tours
249,4680,87500,1,1,1,1,0_tours
250,13169,42500,2,1,1,2,0_tours
251,4863,87500,2,1,1,2,0_tours
252,25894,17500,1,1,1,1,0_tours
253,33557,30000,1,1,0,1,0_tours
254,33074,42500,4,1,2,0,0_tours
255,5888,87500,2,1,3,2,0_tours
256,5410,62500,2,1,2,0,0_tours
257,12237,-1,1,1,1,1,0_tours
258,26141,62500,4,1,2,2,0_tours
259,22145,42500,1,1,0,1,0_tours
260,27159,17500,1,1,0,1,0_tours
261,3871,175000,2,1,1,2,0_tours
262,61423,125000,1,1,1,0,0_tours
263,32543,17500,1,1,0,1,0_tours
264,24474,62500,1,1,1,1,0_tours
265,60982,125000,2,1,2,1,0_tours
266,11082,-1,2,1,1,2,0_tours
267,55780,-1,5,1,2,1,1_Main
268,55502,5000,1,1,1,0,0_tours
269,26120,30000,3,1,4,2,0_tours
270,34164,225000,3,1,1,2,0_tours
271,34164,125000,1,1,1,1,0_tours
272,19983,87500,1,1,1,1,0_tours
273,19983,250000,1,1,1,1,0_tours
274,19983,175000,3,1,0,1,1_Disc
275,2903,87500,2,1,1,2,0_tours
276,58888,87500,2,1,2,2,0_tours
277,19387,62500,5,1,1,2,1_Disc
278,2910,62500,1,1,0,1,0_tours
279,20618,125000,1,1,0,1,0_tours
280,20950,125000,2,1,1,0,0_tours
281,22152,42500,1,1,1,0,0_tours
282,15975,17500,1,1,1,1,0_tours
283,20238,87500,1,1,1,1,0_tours
284,20238,125000,1,1,1,1,0_tours
285,25454,-1,2,1,2,1,0_tours
286,170,125000,1,1,1,1,0_tours
287,22716,42500,1,1,1,1,0_tours
288,12898,-1,2,1,1,2,0_tours
289,20600,42500,2,1,1,2,0_tours
290,16227,62500,2,1,1,1,0_tours
291,485,30000,1,1,0,1,0_tours
292,485,17500,1,1,0,1,0_tours
293,4691,5000,2,1,2,2,0_tours
294,21436,175000,1,1,1,1,0_tours
295,21436,125000,1,1,1,1,0_tours
296,21436,125000,2,1,2,2,0_tours
297,21436,125000,3,1,3,3,0_tours
298,21436,87500,2,1,1,2,0_tours
299,8203,62500,1,1,1,1,0_tours
300,23525,62500,2,1,0,0,0_tours
301,31236,250000,3,1,1,2,0_tours
302,19318,125000,4,1,2,2,0_tours
303,13934,87500,1,1,1,0,0_tours
304,7945,42500,1,1,0,1,0_tours
305,33011,-1,1,1,0,0,0_tours
306,32542,42500,1,1,1,1,0_tours
307,32542,42500,1,1,0,1,0_tours
308,62360,125000,3,1,1,2,0_tours
309,34627,125000,2,1,1,2,0_tours
310,5154,125000,2,1,0,2,0_tours
311,19100,175000,1,1,1,1,0_tours
312,12556,125000,3,1,3,3,0_tours
313,20457,42500,1,1,1,1,0_tours
314,19243,250000,2,1,2,1,0_tours
315,19451,125000,1,1,1,1,0_tours
316,12377,87500,1,1,1,1,0_tours
317,21014,87500,2,1,0,2,0_tours
318,57618,125000,2,1,5,2,0_tours
319,21893,62500,2,1,1,1,0_tours
320,30446,-1,1,1,1,1,0_tours
321,30446,225000,2,1,0,2,0_tours
322,33863,125000,1,1,0,1,0_tours
323,20740,175000,3,1,2,2,0_tours
324,18646,125000,4,1,1,2,0_tours
325,25019,62500,1,1,0,1,0_tours
326,4369,42500,1,1,1,1,0_tours
327,61066,-1,2,1,2,2,0_tours
328,4369,87500,2,1,2,2,0_tours
