person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
11830,8136,2,4,1,3,3,8,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
10875,8135,30,1,1,1,3,1,-1.0,2836.0,0,M,work1,0,0,0,1,0,0,1
12194,8134,50,1,2,1,3,1,-1.0,26924.0,0,M,work1,0,0,0,1,0,0,1
13781,8133,50,1,1,3,3,4,-1.0,-1.0,0,N,,0,2,0,0,0,0,16
13782,8133,50,2,2,2,3,2,-1.0,21175.0,0,N,,0,1,0,0,0,0,16
11332,8132,40,1,2,2,3,2,-1.0,17693.0,0,N,,3,0,0,0,0,0,64
11333,8132,8,2,2,3,1,7,23088.0,-1.0,0,M,school1,0,0,0,1,0,0,1
13947,8131,50,1,1,1,3,1,-1.0,21483.0,0,M,work1,0,0,0,0,0,0,0
12003,8130,30,1,2,2,2,3,23087.0,21615.0,0,M,work1,0,0,0,0,0,0,0
13434,8129,30,1,1,1,3,1,-1.0,33878.0,0,N,,0,1,0,0,0,0,16
14251,8128,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
14252,8128,70,2,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
13983,8127,40,1,2,2,3,2,-1.0,31520.0,0,N,,1,0,0,0,0,0,32
13984,8127,40,2,1,1,3,1,-1.0,17735.0,0,H,,0,0,0,0,0,0,0
13985,8127,2,3,2,3,3,8,-1.0,-1.0,0,N,,1,0,0,1,0,0,33
13962,8126,60,1,1,1,3,1,-1.0,28630.0,0,M,work1,0,0,0,0,0,0,0
14295,8125,30,1,1,1,3,1,-1.0,26814.0,0,H,,0,0,0,0,0,0,0
14296,8125,30,2,2,1,3,1,-1.0,26814.0,0,M,work1,0,0,0,0,0,0,0
12610,8124,30,1,2,1,3,1,-1.0,9033.0,0,N,,0,1,0,0,0,0,16
11180,8123,50,1,2,2,3,2,-1.0,22443.0,0,M,work1,0,0,2,1,0,0,9
11181,8123,50,2,1,2,3,2,-1.0,22443.0,0,H,,0,0,0,0,0,0,0
