household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
150,23515,62500,1,1,0,1
151,4120,17500,1,1,0,1
152,23508,42500,1,1,1,1
153,12628,30000,1,1,0,1
154,4369,62500,1,1,1,1
155,4369,62500,3,1,2,2
156,7723,225000,2,1,1,1
157,15451,17500,1,1,0,1
158,3894,30000,2,1,0,2
159,3894,30000,1,1,0,1
160,3894,-1,2,1,0,2
161,3894,125000,1,1,0,1
162,3894,-1,2,1,0,1
163,3894,62500,1,1,1,1
164,3894,175000,2,1,1,2
165,30216,125000,2,1,2,2
166,18631,30000,1,1,0,0
167,29881,42500,1,1,1,1
168,31551,125000,1,1,2,1
169,6651,-1,1,1,0,1
170,16429,-1,1,1,1,1
171,13934,42500,2,1,1,2
172,59846,125000,2,1,3,2
173,14631,125000,6,1,2,2
174,35782,42500,2,1,1,2
175,35782,125000,1,1,0,1
176,35782,87500,2,1,2,2
177,35782,125000,2,1,1,2
178,35782,125000,1,1,1,1
179,2695,62500,2,1,1,1
180,35782,87500,2,1,3,2
181,6672,17500,1,1,1,1
182,31883,125000,2,1,1,1
183,11281,125000,2,1,2,0
184,2906,125000,1,1,0,1
185,1768,87500,1,1,1,1
186,1768,87500,1,1,1,1
187,34626,-1,2,1,0,2
188,33264,175000,2,1,0,1
189,33264,125000,2,1,1,2
190,3731,225000,3,1,1,1
191,58197,225000,4,1,2,1
192,8427,125000,1,1,0,1
193,8427,225000,2,1,1,2
194,11108,125000,3,1,1,2
195,15433,62500,2,1,1,1
196,12041,125000,1,1,1,1
197,23131,-1,2,1,1,2
198,27155,62500,1,1,0,1
199,5374,62500,1,1,0,1
200,2806,-1,2,1,2,2
201,35815,250000,2,1,3,1
202,13187,175000,2,1,2,0
203,7699,125000,2,1,1,1
204,33525,87500,4,1,3,1
205,34887,62500,2,1,2,2
206,34887,175000,3,1,1,1
207,34887,175000,2,1,1,2
208,34887,125000,4,1,1,1
209,22123,42500,2,1,2,2
210,22123,30000,1,1,1,1
211,11613,42500,1,1,1,1
212,11613,125000,2,1,2,2
213,4147,87500,1,1,0,1
214,4147,17500,1,1,1,1
215,4147,87500,2,1,0,2
216,4147,-1,1,1,1,1
217,4147,87500,1,1,0,1
218,21444,125000,2,1,1,1
219,31478,87500,2,1,2,2
220,64462,62500,2,1,2,2
221,55001,175000,3,1,2,2
222,12837,42500,3,1,2,2
223,16218,225000,2,1,2,2
224,20040,125000,4,1,2,2
225,1189,225000,2,1,3,2
226,4680,87500,1,1,1,1
227,13169,42500,2,1,1,2
228,25894,17500,1,1,1,1
229,8203,125000,4,1,2,2
230,33557,30000,1,1,0,1
231,28363,30000,3,1,0,1
232,22145,42500,1,1,0,1
233,27159,17500,1,1,0,1
234,19389,-1,4,1,2,2
235,57303,-1,1,1,1,0
236,32543,17500,1,1,0,1
237,32543,5000,2,1,0,1
238,24474,62500,1,1,1,1
239,11082,-1,2,1,1,2
240,34164,225000,3,1,1,2
241,19983,225000,3,1,1,1
242,19983,87500,1,1,1,1
243,19983,250000,1,1,1,1
244,2903,87500,2,1,1,2
245,58888,87500,2,1,2,2
246,2910,62500,1,1,0,1
247,20618,125000,1,1,0,1
248,15091,87500,2,1,2,2
249,20238,87500,1,1,1,1
250,22883,42500,2,1,1,2
251,170,125000,1,1,1,1
252,22716,42500,1,1,1,1
253,12898,-1,2,1,1,2
254,7704,125000,1,1,1,1
255,16227,62500,2,1,1,1
256,8073,225000,3,1,2,2
257,485,17500,1,1,0,1
258,21436,125000,2,1,2,2
259,21436,125000,1,1,1,1
260,21436,125000,3,1,3,3
261,21436,87500,2,1,1,2
262,8203,62500,1,1,1,1
263,31236,250000,3,1,1,2
264,13934,87500,1,1,1,0
265,4897,175000,2,1,2,2
266,7945,42500,1,1,0,1
267,29386,30000,1,1,0,1
268,20618,87500,2,1,1,2
269,32542,42500,1,1,1,1
270,27350,-1,2,1,1,0
271,4378,62500,2,1,2,1
272,13881,125000,1,1,1,1
273,23729,125000,4,1,2,2
274,22036,17500,1,1,1,1
275,5154,125000,2,1,0,2
276,5154,62500,1,1,1,1
277,19100,175000,1,1,1,1
278,18633,5000,2,1,0,0
279,20457,42500,1,1,1,1
280,20457,-1,3,1,2,2
281,34049,225000,3,1,2,2
282,56748,175000,2,1,1,2
283,19243,250000,2,1,2,1
284,19451,125000,1,1,1,1
285,12377,87500,1,1,1,1
