trip_id,survey_trip_id,person_id,household_id,survey_tour_id,outbound,purpose,destination,origin,depart,trip_mode,tour_id,trip_num
3410625.0,142730.0,10398,8000,17840.0,True,escort,4245,2193,11.0,DRIVEALONEFREE,426328.0,1
3410626.0,142740.0,10398,8000,17840.0,True,escort,23356,4245,11.0,SHARED3FREE,426328.0,2
3410629.0,142770.0,10398,8000,17840.0,False,Home,2193,23356,12.0,SHARED3FREE,426328.0,1
3410665.0,142810.0,10398,8000,17850.0,True,othdiscr,32429,2193,15.0,SHARED3FREE,426333.0,1
3410669.0,142850.0,10398,8000,17850.0,False,Home,2193,32429,17.0,SHARED3FREE,426333.0,1
3411121.0,142890.0,10399,8000,17860.0,True,school,4245,2193,8.0,SHARED3FREE,426390.0,1
3411125.0,142930.0,10399,8000,17860.0,False,Home,2193,4245,14.0,SHARED3FREE,426390.0,1
3411449.0,143050.0,10400,8000,17880.0,True,school,4245,2193,8.0,SHARED3FREE,426431.0,1
3411453.0,143090.0,10400,8000,17880.0,False,school,23356,4245,11.0,SHARED3FREE,426431.0,1
3411454.0,143100.0,10400,8000,17880.0,False,Home,2193,23356,12.0,SHARED3FREE,426431.0,2
3411273.0,143130.0,10400,8000,17890.0,True,escort,4245,2193,14.0,SHARED3FREE,426409.0,1
3411277.0,143170.0,10400,8000,17890.0,False,Home,2193,4245,14.0,SHARED3FREE,426409.0,1
3411401.0,143210.0,10400,8000,17900.0,True,othdiscr,32429,2193,15.0,SHARED3FREE,426425.0,1
3411405.0,143250.0,10400,8000,17900.0,False,Home,2193,32429,17.0,SHARED3FREE,426425.0,1
3411841.0,143450.0,10401,6093,17930.0,True,work,28273,25634,7.0,DRIVEALONEFREE,426480.0,1
3411845.0,143490.0,10401,6093,17930.0,False,Home,25634,28273,12.0,DRIVEALONEFREE,426480.0,1
3411849.0,143530.0,10401,6093,17940.0,True,work,28273,25634,12.0,DRIVEALONEFREE,426481.0,1
3411853.0,143570.0,10401,6093,17940.0,False,Home,25634,28273,17.0,DRIVEALONEFREE,426481.0,1
3411577.0,143610.0,10401,6093,17950.0,True,eatout,13684,25634,18.0,WALK,426447.0,1
3411581.0,143650.0,10401,6093,17950.0,False,Home,25634,13684,19.0,WALK,426447.0,1
3412825.0,144010.0,10404,7080,18000.0,True,work,29794,11193,10.0,WALK,426603.0,1
3412829.0,144050.0,10404,7080,18000.0,False,Home,11193,29794,19.0,WALK,426603.0,1
3413153.0,144090.0,10405,7080,18010.0,True,work,8078,11193,6.0,DRIVEALONEFREE,426644.0,1
3413157.0,144130.0,10405,7080,18010.0,False,othdiscr,35782,8078,15.0,DRIVEALONEFREE,426644.0,1
3413158.0,144140.0,10405,7080,18010.0,False,eatout,16343,35782,16.0,WALK,426644.0,2
3413159.0,144150.0,10405,7080,18010.0,False,othdiscr,7509,16343,17.0,DRIVEALONEFREE,426644.0,3
3413160.0,144160.0,10405,7080,18010.0,False,Home,11193,7509,20.0,DRIVEALONEFREE,426644.0,4
3413433.0,144170.0,10406,7858,18020.0,True,shopping,28144,1206,14.0,DRIVEALONEFREE,426679.0,1
3413437.0,144210.0,10406,7858,18020.0,False,Home,1206,28144,14.0,DRIVEALONEFREE,426679.0,1
1735761.0,144250.0,5291,3444,18030.0,True,othmaint,10539,27200,8.0,DRIVEALONEFREE,216970.0,1
1735762.0,144260.0,5291,3444,18030.0,True,work,452,10539,10.0,DRIVEALONEFREE,216970.0,2
1735765.0,144290.0,5291,3444,18030.0,False,shopping,27673,452,12.0,DRIVEALONEFREE,216970.0,1
1735766.0,144300.0,5291,3444,18030.0,False,Home,27200,27673,13.0,DRIVEALONEFREE,216970.0,2
1735713.0,144330.0,5291,3444,18040.0,True,shopping,24982,27200,15.0,DRIVEALONEFREE,216964.0,1
1735717.0,144370.0,5291,3444,18040.0,False,shopping,19629,24982,15.0,DRIVEALONEFREE,216964.0,1
1735718.0,144380.0,5291,3444,18040.0,False,Home,27200,19629,16.0,DRIVEALONEFREE,216964.0,2
1735673.0,144410.0,5291,3444,18050.0,True,othmaint,6186,27200,16.0,SHARED2FREE,216959.0,1
1735677.0,144450.0,5291,3444,18050.0,False,Home,27200,6186,17.0,SHARED2FREE,216959.0,1
1736089.0,144490.0,5292,3444,18060.0,True,othmaint,13681,27200,7.0,WALK_LOC,217011.0,1
1736090.0,144500.0,5292,3444,18060.0,True,work,9533,13681,8.0,WALK,217011.0,2
1736093.0,144530.0,5292,3444,18060.0,False,shopping,15141,9533,11.0,WALK,217011.0,1
1736094.0,144540.0,5292,3444,18060.0,False,Home,27200,15141,11.0,WALK_LOC,217011.0,2
1736001.0,144570.0,5292,3444,18070.0,True,othmaint,6186,27200,16.0,SHARED2FREE,217000.0,1
1736005.0,144610.0,5292,3444,18070.0,False,Home,27200,6186,17.0,SHARED2FREE,217000.0,1
1736329.0,144810.0,5293,3994,18100.0,True,othmaint,61420,30329,11.0,DRIVEALONEFREE,217041.0,1
1736333.0,144850.0,5293,3994,18100.0,False,othdiscr,2844,61420,14.0,DRIVEALONEFREE,217041.0,1
1736334.0,144860.0,5293,3994,18100.0,False,Home,30329,2844,15.0,DRIVEALONEFREE,217041.0,2
1736369.0,144890.0,5293,3994,18110.0,True,shopping,11479,30329,17.0,DRIVEALONEFREE,217046.0,1
1736373.0,144930.0,5293,3994,18110.0,False,Home,30329,11479,18.0,DRIVEALONEFREE,217046.0,1
136105.0,144970.0,414,177,18120.0,True,work,7217,35782,7.0,WALK_LOC,17013.0,1
136109.0,145010.0,414,177,18120.0,False,Home,35782,7217,18.0,WALK_LOC,17013.0,1
136169.0,145050.0,415,177,18130.0,True,eatout,16343,35782,9.0,WALK,17021.0,1
136173.0,145090.0,415,177,18130.0,False,Home,35782,16343,9.0,WALK,17021.0,1
136321.0,145130.0,415,177,18140.0,True,othdiscr,27050,35782,12.0,DRIVEALONEFREE,17040.0,1
136325.0,145170.0,415,177,18140.0,False,Home,35782,27050,13.0,DRIVEALONEFREE,17040.0,1
136433.0,145210.0,415,177,18150.0,True,work,11748,35782,14.0,WALK,17054.0,1
136437.0,145250.0,415,177,18150.0,False,Home,35782,11748,19.0,WALK,17054.0,1
1736633.0,145290.0,5294,5501,18160.0,True,othdiscr,16734,15689,8.0,WALK,217079.0,1
1736637.0,145330.0,5294,5501,18160.0,False,Home,15689,16734,9.0,WALK,217079.0,1
1737073.0,145370.0,5295,5501,18170.0,True,work,9034,15689,7.0,WALK,217134.0,1
1737077.0,145410.0,5295,5501,18170.0,False,Home,15689,9034,16.0,WALK,217134.0,1
3414769.0,145690.0,10410,7438,18210.0,True,eatout,28340,16189,17.0,SHARED2FREE,426846.0,1
3414770.0,145700.0,10410,7438,18210.0,True,social,6903,28340,18.0,SHARED2FREE,426846.0,2
3414773.0,145730.0,10410,7438,18210.0,False,shopping,10331,6903,21.0,SHARED2FREE,426846.0,1
3414774.0,145740.0,10410,7438,18210.0,False,Home,16189,10331,22.0,SHARED2FREE,426846.0,2
136761.0,146010.0,416,752,18250.0,True,eatout,45443,54301,7.0,DRIVEALONEFREE,17095.0,1
136762.0,146020.0,416,752,18250.0,True,work,44692,45443,8.0,DRIVEALONEFREE,17095.0,2
136765.0,146050.0,416,752,18250.0,False,Home,54301,44692,12.0,DRIVEALONEFREE,17095.0,1
137089.0,146090.0,417,1029,18260.0,True,work,11618,27101,7.0,WALK_LOC,17136.0,1
137093.0,146130.0,417,1029,18260.0,False,Home,27101,11618,18.0,WALK_LOC,17136.0,1
3415121.0,146170.0,10411,6191,18270.0,True,work,3193,22442,8.0,WALK,426890.0,1
3415125.0,146210.0,10411,6191,18270.0,False,Home,22442,3193,17.0,WALK,426890.0,1
1738057.0,146250.0,5298,4509,18280.0,True,work,11236,3879,7.0,DRIVEALONEFREE,217257.0,1
1738061.0,146290.0,5298,4509,18280.0,False,othmaint,23366,11236,16.0,DRIVEALONEFREE,217257.0,1
1738062.0,146300.0,5298,4509,18280.0,False,othmaint,6836,23366,16.0,DRIVEALONEFREE,217257.0,2
1738063.0,146310.0,5298,4509,18280.0,False,Home,3879,6836,16.0,DRIVEALONEFREE,217257.0,3
3415449.0,146330.0,10412,7627,18290.0,True,work,11236,3879,5.0,DRIVEALONEFREE,426931.0,1
3415453.0,146370.0,10412,7627,18290.0,False,othdiscr,23367,11236,14.0,DRIVEALONEFREE,426931.0,1
3415454.0,146380.0,10412,7627,18290.0,False,othmaint,30222,23367,18.0,DRIVEALONEFREE,426931.0,2
3415455.0,146390.0,10412,7627,18290.0,False,othdiscr,27720,30222,18.0,DRIVEALONEFREE,426931.0,3
3415456.0,146400.0,10412,7627,18290.0,False,Home,3879,27720,22.0,DRIVEALONEFREE,426931.0,4
137745.0,146410.0,419,1827,18300.0,True,work,65015,6633,7.0,DRIVEALONEFREE,17218.0,1
137749.0,146450.0,419,1827,18300.0,False,Home,6633,65015,16.0,DRIVEALONEFREE,17218.0,1
1738337.0,146490.0,5299,4879,18310.0,True,shopping,28618,22962,10.0,WALK_LOC,217292.0,1
1738338.0,146500.0,5299,4879,18310.0,True,shopping,32323,28618,10.0,WALK,217292.0,2
1738341.0,146530.0,5299,4879,18310.0,False,eatout,15990,32323,12.0,WALK_LOC,217292.0,1
1738342.0,146540.0,5299,4879,18310.0,False,Home,22962,15990,13.0,WALK_LOC,217292.0,2
1738713.0,146570.0,5300,4879,18320.0,True,work,27219,22962,6.0,WALK_LOC,217339.0,1
1738717.0,146610.0,5300,4879,18320.0,False,Home,22962,27219,16.0,WALK_LOC,217339.0,1
1739041.0,146650.0,5301,4365,18330.0,True,work,46249,437,7.0,DRIVEALONEFREE,217380.0,1
1739045.0,146690.0,5301,4365,18330.0,False,work,53154,46249,16.0,DRIVEALONEFREE,217380.0,1
1739046.0,146700.0,5301,4365,18330.0,False,Home,437,53154,19.0,DRIVEALONEFREE,217380.0,2
1739129.0,146730.0,5302,4365,18340.0,True,escort,30167,437,8.0,BIKE,217391.0,1
1739133.0,146770.0,5302,4365,18340.0,False,Home,437,30167,9.0,BIKE,217391.0,1
1739369.0,146810.0,5302,4365,18350.0,True,othdiscr,23181,437,10.0,DRIVEALONEFREE,217421.0,1
1739370.0,146820.0,5302,4365,18350.0,True,work,1135,23181,13.0,DRIVEALONEFREE,217421.0,2
1739373.0,146850.0,5302,4365,18350.0,False,Home,437,1135,23.0,DRIVEALONEFREE,217421.0,1
138073.0,146890.0,420,1852,18360.0,True,work,15423,22452,7.0,DRIVEALONEFREE,17259.0,1
138077.0,146930.0,420,1852,18360.0,False,othmaint,871,15423,14.0,DRIVEALONEFREE,17259.0,1
138078.0,146940.0,420,1852,18360.0,False,shopping,874,871,15.0,DRIVEALONEFREE,17259.0,2
138079.0,146950.0,420,1852,18360.0,False,Home,22452,874,16.0,DRIVEALONEFREE,17259.0,3
3415729.0,146970.0,10413,7816,18370.0,True,shopping,15996,21463,10.0,WALK_LOC,426966.0,1
3415730.0,146980.0,10413,7816,18370.0,True,shopping,30446,15996,11.0,WALK_LOC,426966.0,2
3415733.0,147010.0,10413,7816,18370.0,False,Home,21463,30446,12.0,WALK_LOC,426966.0,1
3416057.0,147130.0,10414,7337,18390.0,True,shopping,64207,61226,15.0,SHARED2FREE,427007.0,1
3416061.0,147170.0,10414,7337,18390.0,False,Home,61226,64207,17.0,SHARED2FREE,427007.0,1
3416385.0,147210.0,10415,7337,18400.0,True,shopping,64207,61226,15.0,SHARED2FREE,427048.0,1
3416389.0,147250.0,10415,7337,18400.0,False,Home,61226,64207,17.0,SHARED2FREE,427048.0,1
3416497.0,147290.0,10416,6239,18410.0,True,othmaint,14450,21269,14.0,WALK_LOC,427062.0,1
3416498.0,147300.0,10416,6239,18410.0,True,othmaint,12656,14450,15.0,WALK,427062.0,2
3416499.0,147310.0,10416,6239,18410.0,True,eatout,3894,12656,15.0,WALK,427062.0,3
3416501.0,147330.0,10416,6239,18410.0,False,othdiscr,26058,3894,17.0,WALK,427062.0,1
3416502.0,147340.0,10416,6239,18410.0,False,escort,15448,26058,17.0,WALK,427062.0,2
3416503.0,147350.0,10416,6239,18410.0,False,shopping,18014,15448,17.0,WALK_LOC,427062.0,3
3416504.0,147360.0,10416,6239,18410.0,False,Home,21269,18014,18.0,WALK_LOC,427062.0,4
3416977.0,147370.0,10417,7832,18420.0,True,othdiscr,3838,28621,8.0,WALK,427122.0,1
3416981.0,147410.0,10417,7832,18420.0,False,Home,28621,3838,8.0,WALK,427122.0,1
3417089.0,147450.0,10417,7832,18430.0,True,work,23697,28621,8.0,DRIVEALONEFREE,427136.0,1
3417090.0,147460.0,10417,7832,18430.0,True,othdiscr,1318,23697,12.0,WALK,427136.0,2
3417091.0,147470.0,10417,7832,18430.0,True,work,25867,1318,12.0,WALK,427136.0,3
3417093.0,147490.0,10417,7832,18430.0,False,Home,28621,25867,17.0,DRIVEALONEFREE,427136.0,1
3416985.0,147530.0,10417,7832,18440.0,True,othdiscr,3838,28621,18.0,BIKE,427123.0,1
3416986.0,147540.0,10417,7832,18440.0,True,othdiscr,73,3838,18.0,WALK,427123.0,2
3416989.0,147570.0,10417,7832,18440.0,False,othdiscr,3838,73,21.0,WALK,427123.0,1
3416990.0,147580.0,10417,7832,18440.0,False,othdiscr,73,3838,21.0,WALK,427123.0,2
3416991.0,147590.0,10417,7832,18440.0,False,Home,28621,73,22.0,WALK,427123.0,3
1739977.0,147610.0,5304,5302,18450.0,True,shopping,33509,7995,13.0,WALK,217497.0,1
1739981.0,147650.0,5304,5302,18450.0,False,Home,7995,33509,13.0,WALK,217497.0,1
138353.0,147690.0,421,2843,18460.0,True,shopping,14587,30379,16.0,SHARED2FREE,17294.0,1
138357.0,147730.0,421,2843,18460.0,False,Home,30379,14587,16.0,SHARED2FREE,17294.0,1
