MAZ,TAZ,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,AGREMPN,CIACRE,COLLFTE,COLLPTE,COUNTY,DISTRICT,EMPRES,FPSEMPN,HEREMPN,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,HHPOP,HSENROLL,MFDU,MWTEMPN,OPRKCST,OTHEMPN,PRKCST,RESACRE,RETEMPN,SD,SFDU,SHPOP62P,TERMINAL,TOPOLOGY,TOTACRE,TOTEMP,TOTHH,TOTPOP,ZERO,area_type,gqpop,hhlds,sftaz,GSENROLL,transit_score,transit_score_scaled,sfunits,mfunits,percent_mf,mixed_use2_1,density_index,buff_density_index,density,mixed_use3_1,hh_1,emptot_1,hh_2,emptot_2,access_dist_transit
27401,345,1,5,2,16,3,0,0.0,0.0,0.0,1,-1,9,0,0,0,0,1,10,27,5,-1,0,-1.0,0,0.0,1.6090771236367134,0,-1,-1,0.1851851851851851,2.0,1,1.6090771236367134,0,11,27,0,4,-1,-1,-1,0,114.73984764248873,39.30492828239292,11.0,0.0,0.0,0.0403261392609546,0.0,2.6608715377159693,16.779804773419848,0.0042722393297381,612.7845713304314,2.672476130919991,1874.214097847045,324.3884012918162,0.0871779357062445
28002,332,1,1,7,6,4,0,0.0,0.0,0.0,1,-1,13,0,0,1,1,0,8,19,1,-1,0,-1.0,0,0.0,22.624849333303658,0,-1,-1,0.2631578947368421,2.0,1,22.624849333303658,0,10,19,0,5,-1,-1,-1,0,352.1702266760407,55.24214527489291,10.0,0.0,0.0,0.9151097610285278,0.0,101.54065174097686,0.8397845979036909,0.4284028133922561,307.5315756411286,151.59384709913775,2105.086997866784,2647.746351453801,0.4083733545168482
28003,346,2,3,6,17,8,0,0.0,0.0,0.0,1,-1,15,0,0,0,1,4,11,36,3,-1,0,-1.0,0,0.0,2.640916611712607,0,-1,-1,0.4166666666666667,2.0,1,2.640916611712607,0,16,36,0,4,-1,-1,-1,0,89.42190062402626,35.77837859424531,16.0,0.0,0.0,0.0,0.0,0.0,13.631630715009353,0.0,418.1060876634264,0.0,1394.0398180462246,139.86582875275795,0.241739317383429
28004,346,2,5,3,7,1,0,0.0,0.0,0.0,1,-1,7,0,0,1,0,0,4,18,5,-1,0,-1.0,0,0.0,1.4924337669071306,0,-1,-1,0.0555555555555555,2.0,1,1.4924337669071306,0,5,18,0,4,-1,-1,-1,0,91.71573734643452,36.13626035107968,5.0,0.0,0.0,0.0,0.0,0.0,12.060836734686454,0.0,410.65617792063193,0.0,1385.8727508371603,386.00287907978674,0.3008152216131037
28005,346,1,13,5,14,4,0,0.0,0.0,0.0,1,-1,11,0,0,1,0,1,11,37,13,-1,0,-1.0,0,0.0,1.7040155563144317,0,-1,-1,0.1351351351351351,2.0,1,1.7040155563144317,0,13,37,0,4,-1,-1,-1,0,108.67532986218696,38.53606363830141,13.0,0.0,0.0,0.0,0.0,0.0,21.71341679534093,0.0,616.0696144685597,0.0,1780.67024611876,145.11771048618442,0.1593759189952503
28006,345,3,6,7,14,2,0,0.0,0.0,0.0,1,-1,9,0,0,1,0,1,10,32,6,-1,0,-1.0,0,0.0,1.472067695106247,0,-1,-1,0.21875,2.0,1,1.472067695106247,0,12,32,0,4,-1,-1,-1,0,124.80134052011492,40.4957714310332,12.0,0.0,0.0,0.1930273067808692,0.0,20.73576213807524,21.73813073025177,0.0235674411607016,697.5098968015117,21.37108758777001,2311.1963233516603,478.23344707191154,0.2279081922588926
28007,348,0,6,8,9,4,0,0.0,0.0,0.0,1,-1,13,0,0,0,0,0,10,27,6,-1,0,-1.0,0,0.0,1.3369001999812131,0,-1,-1,0.1851851851851851,2.0,1,1.3369001999812131,0,10,27,0,4,-1,-1,-1,0,133.31705062536375,41.43147221009027,10.0,0.0,0.0,0.87715322786732,0.0,141.05693316998313,20.19597274379899,0.3993038918886578,475.50470195444825,200.54920745734347,1629.388717044174,777.9828533004018,0.0915591500022194
28008,348,0,2,0,1,6,0,0.0,0.0,0.0,1,-1,5,0,0,0,0,0,4,9,2,-1,0,-1.0,0,0.0,0.5817335151553263,0,-1,-1,0.7777777777777778,2.0,1,0.5817335151553263,0,4,9,0,4,-1,-1,-1,0,133.56076772813944,41.45737002398681,4.0,0.0,0.0,0.8683875893774935,0.0,133.17797043885813,15.471001352908036,0.3898653197783919,459.6434864439217,187.5064398810588,1561.139867367327,767.4225520976782,0.0215101804516531
28009,348,0,0,0,0,0,0,,0.0,0.0,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1.0,0,0.0,,0,-1,-1,0.0,2.0,1,0.0875381126438837,0,0,0,0,5,-1,-1,-1,0,166.5814291450241,44.592419675496224,0.0,0.0,0.0,0.9988619832321972,0.0,281.34335136164776,0.0,0.7124749575641524,541.193672019502,585.9574890506524,1888.3279678641427,931.3281073375398,0.0621369332978219
28010,348,0,2,3,3,4,0,0.0,0.0,0.0,1,-1,5,0,0,1,0,1,3,12,2,-1,0,-1.0,0,0.0,0.6763448023380108,0,-1,-1,0.3333333333333333,2.0,1,0.6763448023380108,0,5,12,0,4,-1,-1,-1,0,141.697077446435,42.29605776956666,5.0,0.0,0.0,0.9029936008688296,0.0,166.15108380760574,17.742429539663807,0.4129020606873302,521.2931425157143,243.8838726269992,1774.2731963093902,798.6370802329211,0.2378090598366476
28011,348,0,1,1,7,11,0,0.0,0.0,0.0,1,-1,5,0,0,1,0,2,8,20,1,-1,0,-1.0,0,0.0,1.3875231137726698,0,-1,-1,0.7,2.0,1,1.3875231137726698,0,11,20,0,4,-1,-1,-1,0,160.68985683496857,44.081143376031854,11.0,0.0,0.0,0.9952247751711674,0.0,238.54567089691977,14.414174294812344,0.6350399163981405,519.3213322843858,441.21294206446896,1813.175846867316,873.8868880401016,0.1133758250675253
28012,348,2,2,4,14,6,0,0.0,0.0,0.0,1,-1,14,0,0,1,1,0,12,28,2,-1,0,-1.0,0,0.0,1.6816511232990865,0,-1,-1,0.3571428571428571,2.0,1,1.6816511232990865,0,14,28,0,4,-1,-1,-1,0,165.09078777507972,44.46477933087329,14.0,0.0,0.0,0.9968604421541948,0.0,244.74105273549824,16.650302558041417,0.6431482984709929,524.0418330359267,459.1986809227548,1800.7292867973017,882.123076773694,0.0787771774060797
28013,345,10,6,22,14,6,0,0.0,0.0,0.0,1,-1,34,0,0,2,3,5,13,58,6,-1,0,-1.0,0,0.0,3.1939926042372857,0,-1,-1,0.1551724137931034,2.0,1,3.1939926042372857,0,23,58,0,4,-1,-1,-1,0,170.94181549644003,44.95937339408214,23.0,0.0,0.0,0.6029108713368079,0.0,117.4613901331108,18.159090263094143,0.3049817015851919,797.7101792543165,137.74393733150723,2987.957992141817,635.9136904995593,0.1568897634312726
28014,345,12,7,15,14,11,0,0.0,0.0,0.0,1,-1,32,0,0,2,6,3,13,59,7,-1,0,-1.0,0,0.0,3.148517235229604,0,-1,-1,0.1864406779661017,2.0,1,3.148517235229604,0,24,59,0,4,-1,-1,-1,0,147.887790198273,42.9027562330883,24.0,0.0,0.0,0.5267179086041947,0.0,94.90839760085464,18.73897952338744,0.1897210220787306,796.9967142503843,107.73812816544734,3089.1918239069605,939.550216393106,0.0333409006908685
28015,345,8,3,11,13,12,0,0.0,0.0,0.0,1,-1,23,0,0,0,5,5,12,47,3,-1,0,-1.0,0,0.0,3.1510904793787486,0,-1,-1,0.3191489361702128,2.0,1,3.1510904793787486,0,22,47,0,4,-1,-1,-1,0,147.887790198273,42.9027562330883,22.0,0.0,0.0,0.544902960240191,0.0,94.45098755815393,14.915471424123073,0.1275074503035161,752.7335179381872,108.00290279060032,3062.3677125665827,969.2838227995368,0.0388525689920417
28091,350,8,0,22,18,14,0,0.0,0.0,0.0,1,-1,30,0,0,5,6,4,16,62,0,-1,0,-1.0,0,0.0,3.840371668371616,0,-1,-1,0.2419354838709677,3.0,1,3.840371668371616,0,31,62,0,4,-1,-1,-1,0,378.9412515559415,56.28595199428377,24.0,0.0,0.0,0.8426233905018208,0.0,310.3715758344571,16.144270751348678,0.2831838609152264,1146.089487710202,425.63835870112206,3941.2559619757126,2726.85684932867,0.1644734244555334
28100,346,0,0,0,0,0,0,,0.0,0.0,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1.0,0,0.0,,0,-1,-1,0.0,2.0,1,97.88127343043809,0,0,0,0,5,-1,-1,-1,0,43.91666986156783,25.78298560357885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.14230029513836,0.0,570.3240529737059,4.630834763499415,0.5365889578154593
28101,331,0,0,0,0,0,0,,0.0,0.0,1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1.0,0,0.0,,0,-1,-1,0.0,2.0,1,2336.843984652572,0,0,0,0,5,-1,-1,-1,0,2.735462627287414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.90033197571022,2.5551940852470856,195.864765789818,1.4594007549863872
28504,349,3,5,12,29,27,0,0.0,0.0,0.0,1,-1,35,0,0,0,0,4,24,76,5,-1,0,-1.0,0,0.0,4.370533471505942,0,-1,-1,0.4210526315789473,2.0,1,4.370533471505942,0,28,76,0,4,-1,-1,-1,0,162.67175813876418,44.25518496333375,28.0,0.0,0.0,0.6742380255251658,0.0,87.45880089958395,17.389181548542837,0.1883463637488188,493.15161886454246,106.31307072166828,2979.6251144797598,1047.48996072688,0.2393855458214167
28813,352,9,22,36,16,3,0,0.0,0.0,0.0,1,-1,39,0,0,5,2,2,23,86,22,-1,0,-1.0,0,0.0,3.398692695890905,0,-1,-1,0.0465116279069767,2.0,1,3.398692695890905,0,32,86,0,4,-1,-1,-1,0,707.3367008086566,65.18456495374167,30.0,0.0,0.0,0.991455175737286,0.0,528.9079494964029,25.30384700681409,0.4754375587882752,1186.863720819429,954.078806312473,3750.7783499760617,3632.3252504931406,0.2075841682692475
28825,345,2,10,11,19,11,0,0.0,0.0,0.0,1,-1,22,0,0,3,2,2,16,53,10,-1,0,-1.0,0,0.0,3.705468407412863,0,-1,-1,0.320754716981132,2.0,1,3.705468407412863,0,23,53,0,4,-1,-1,-1,0,142.820601877685,42.40809575147012,23.0,0.0,0.0,0.7237289557437175,0.0,125.49345618081564,14.303184961440357,0.2127704026499783,624.6492897250339,157.04393898772688,2513.7964992172283,896.7499248353835,0.1685561882491482
28826,345,0,7,16,18,11,2,1.052739424188704,0.0,0.0,1,-1,19,8,0,3,2,1,12,52,7,-1,0,-1.0,7,0.0,2.488293184446028,4,-1,-1,0.2692307692307692,2.0,1,3.5410326086347315,22,18,52,0,3,-1,-1,-1,0,143.83421146584803,42.50842455820421,18.0,0.0,0.0,0.8543393839772303,2.7957946435904213,174.87351038575378,30.21717443072476,0.3153807803755686,626.3690687006541,242.6056155448204,2742.6265847312065,967.8546423831642,0.0989442426508122
29567,345,5,11,15,26,3,0,0.0,0.0,0.0,1,-1,26,0,0,1,4,6,12,60,11,-1,0,-1.0,0,0.0,3.392165885483923,0,-1,-1,0.1333333333333333,2.0,1,3.392165885483923,0,23,60,0,4,-1,-1,-1,0,116.93286503773524,39.57307888856443,23.0,0.0,0.0,0.0733222259718875,0.0,5.216829226563786,17.687814224168008,0.0078703997967935,587.005039182132,5.263607945543341,1963.1033822652105,387.0565849120428,0.1671230364327478
29569,350,4,3,33,18,15,0,0.0,0.0,0.0,1,-1,42,0,0,7,5,12,15,73,3,-1,0,-1.0,0,0.0,2.112372735534052,0,-1,-1,0.2191780821917808,3.0,1,2.112372735534052,0,39,73,0,3,-1,-1,-1,0,265.2029722965492,51.203701022151805,12.0,0.0,0.0,0.6370127324950657,0.0,136.99526557946157,34.55829493157328,0.096355298062199,850.2009094916945,163.30983971580528,3116.7242222224145,1630.7303562075708,0.1118071342237067
