,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id
776,367,19451,94478.0,Home,1014,17112455_2,1711245501_2,Thursday,Work,1,1,other,28618.0,1260405.0,395,990,0,1,776,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
782,355,30339,1002328.0,Home,1008,17112554_2,1711255401_2,Thursday,Work,1,1,Work,18493.0,697605.0,362,997,0,3,782,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
789,404,844,971926.0,Home,1190,17112575_2,1711257501_2,Thursday,Work,1,1,Work,33089.0,893415.0,420,1152,0,1,789,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
794,626,7720,1061692.0,Home,1245,17112650_2,1711265002_2,Thursday,Work,1,4,Work,20797.0,671556.0,641,1092,0,1,794,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
902,1075,25298,732241.0,Home,1090,17114461_2,1711446101_2,Thursday,shopping,1,1,other,30446.0,96590.0,1080,1085,0,0,902,WALK,,non_mandatory,17.0,17.0,non_mandatory,4,shopping4,shopping4
905,435,25925,893874.0,Home,1025,17114492_2,1711449201_2,Thursday,Work,1,1,Work,648.0,790364.0,475,990,0,1,905,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
912,452,19887,638536.0,Home,1241,17114543_2,1711454301_2,Thursday,Work,2,2,Work,2418.0,883189.0,519,1038,0,1,912,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
926,511,20665,1213992.0,Home,1004,17114648_2,1711464801_2,Thursday,Work,3,3,Work,20665.0,934474.0,526,990,0,1,926,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
971,435,14631,768656.0,Home,1270,17115231_2,1711523101_2,Thursday,Work,1,5,Work,4159.0,1096205.0,460,1025,0,1,971,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1000,527,21444,740760.0,Home,1288,17115569_2,1711556901_2,Thursday,Work,1,3,Work,910.0,651779.0,538,1059,0,1,1000,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1011,420,25858,590501.0,Home,1059,17115751_2,1711575101_2,Thursday,Work,1,1,Work,15142.0,19051.0,467,1034,0,1,1011,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1031,475,36860,377085.0,Home,1030,17116081_2,1711608101_2,Thursday,Work,1,1,Work,36286.0,259828.0,490,1020,0,1,1031,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1036,435,34887,67921.0,Home,1110,17116132_2,1711613201_2,Thursday,Work,2,1,Work,22170.0,995402.0,480,1065,0,2,1036,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1075,460,2911,715169.0,Home,955,17116963_2,1711696301_2,Thursday,Work,1,2,Work,29371.0,857703.0,480,905,0,1,1075,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1122,406,14955,875224.0,Home,1255,17117645_2,1711764501_2,Thursday,Work,1,2,Work,30006.0,800871.0,451,937,0,1,1122,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1142,450,3163,1054080.0,Home,1260,17117878_2,1711787801_2,Thursday,Work,2,1,other,30988.0,973341.0,530,1230,0,1,1142,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1149,470,266,945203.0,Home,720,17117898_2,1711789801_2,Thursday,Work,1,1,Work,24560.0,949012.0,480,715,0,1,1149,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1151,775,266,945203.0,Home,1170,17117898_2,1711789801_2,Thursday,Work,1,3,Work,24560.0,949012.0,780,1025,0,1,1151,SHARED2FREE,,non_mandatory,12.0,12.0,non_mandatory,2,Work2,Work2
1168,430,714,1084253.0,Home,1085,17118065_2,1711806501_2,Thursday,Work,1,1,Work,21257.0,902276.0,475,1040,0,1,1168,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1170,445,714,1084253.0,Home,1020,17118065_2,1711806502_2,Thursday,Work,1,1,Work,21005.0,1198696.0,470,1000,0,1,1170,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1174,545,34099,676526.0,Home,1030,17118150_2,1711815001_2,Thursday,Work,1,1,Work,27204.0,597419.0,590,1005,0,1,1174,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1205,505,7184,639689.0,Home,1222,17118797_2,1711879701_2,Thursday,Work,1,1,Work,58517.0,21388.0,538,1196,0,1,1205,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1240,510,34643,108099.0,Home,790,17119312_2,1711931202_2,Thursday,Work,1,1,Work,34645.0,698581.0,520,780,0,1,1240,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1246,555,20601,1026566.0,Home,1140,17119401_2,1711940101_2,Thursday,Work,1,1,Work,3390.0,777127.0,585,1095,0,1,1246,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1318,520,35815,66211.0,Home,1090,17121007_2,1712100702_2,Thursday,Work,1,1,Work,2836.0,111682.0,545,1050,0,1,1318,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1350,330,15982,787044.0,Home,975,17121517_2,1712151701_2,Thursday,Work,1,2,Work,10544.0,1074419.0,355,930,0,1,1350,WALK_LR,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
1361,390,15091,81691.0,Home,1085,17121646_2,1712164601_2,Thursday,Work,1,1,Work,27219.0,944773.0,420,1050,0,1,1361,BIKE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1364,390,13114,617729.0,Home,970,17121692_2,1712169201_2,Thursday,Work,1,1,Work,23964.0,1259686.0,405,945,0,1,1364,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1367,385,27488,1057078.0,Home,1005,17121735_2,1712173501_2,Thursday,Work,1,1,Work,22227.0,750954.0,420,960,0,1,1367,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1371,510,5872,930373.0,Home,1135,17121856_2,1712185601_2,Thursday,Work,1,2,Work,15452.0,1109102.0,525,1000,0,1,1371,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1462,1055,9336,850009.0,Home,1065,17123251_2,1712325101_2,Thursday,othdiscr,1,1,other,13394.0,716417.0,1060,1060,0,0,1462,WALK,,non_mandatory,17.0,17.0,non_mandatory,4,othdiscr4,othdiscr4
1463,1275,9336,850009.0,Home,1285,17123251_2,1712325101_2,Thursday,othdiscr,1,1,other,13394.0,716417.0,1280,1280,0,0,1463,WALK,,non_mandatory,21.0,21.0,non_mandatory,5,othdiscr5,othdiscr5
1471,594,43906,445231.0,Home,1163,17123482_2,1712348201_2,Thursday,Work,1,3,Work,42292.0,405270.0,614,1024,0,1,1471,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1480,720,1438,655020.0,Home,970,17123584_2,1712358401_2,Thursday,Work,1,1,Work,12598.0,622064.0,755,930,0,1,1480,WALK_LR,,non_mandatory,12.0,12.0,non_mandatory,1,Work1,Work1
1498,627,1648,158536.0,Home,1157,17123868_2,1712386801_2,Thursday,Work,1,1,Work,3543.0,661301.0,648,1137,0,1,1498,SHARED2FREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
1519,345,19349,1182506.0,Home,1065,17124093_2,1712409301_2,Thursday,Work,1,1,Work,24072.0,1234012.0,390,1030,0,1,1519,BIKE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
1537,422,25809,713226.0,Home,956,17124316_2,1712431602_2,Thursday,Work,1,1,Work,49097.0,171588.0,469,908,0,1,1537,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1587,480,13171,796313.0,Home,1050,17124943_2,1712494301_2,Thursday,Work,1,1,Work,24046.0,1069930.0,495,1020,0,1,1587,WALK_LR,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1604,470,15436,1016998.0,Home,1030,17125286_2,1712528601_2,Thursday,Work,1,1,Work,59777.0,711902.0,495,1000,0,1,1604,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1615,435,24298,1120106.0,Home,1040,17125391_2,1712539101_2,Thursday,Work,2,1,Work,14137.0,718281.0,465,1020,0,1,1615,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1620,690,9652,141517.0,Home,745,17125439_2,1712543901_2,Thursday,Work,1,1,Work,7530.0,135594.0,705,735,0,1,1620,DRIVEALONEFREE,,non_mandatory,11.0,11.0,non_mandatory,1,Work1,Work1
1624,555,12656,,Home,1225,17125472_2,1712547201_2,Thursday,Work,1,2,Work,1.0,,575,1035,0,1,1624,WALK_LOC,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1629,529,13115,996662.0,Home,1056,17125516_2,1712551601_2,Thursday,Work,1,1,Work,4680.0,1068192.0,551,1026,0,1,1629,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1649,455,7940,156866.0,Home,1200,17125765_2,1712576501_2,Thursday,Work,2,2,Work,33090.0,1032587.0,575,1120,0,1,1649,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1686,370,51355,562323.0,Home,1100,17126178_2,1712617801_2,Thursday,Work,1,1,Work,12656.0,441907.0,465,1000,0,1,1686,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1719,425,3879,1139170.0,Home,1030,17126849_2,1712684901_2,Thursday,Work,2,1,Work,12926.0,1068823.0,455,990,0,1,1719,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1729,463,19114,1136668.0,Home,1260,17127031_2,1712703101_2,Thursday,Work,2,2,Work,3390.0,777127.0,591,1214,0,1,1729,BIKE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
1814,551,20618,60474.0,Home,1003,17128325_2,1712832501_2,Thursday,Work,1,1,Work,20528.0,1254599.0,573,975,0,1,1814,BIKE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1823,500,20035,621846.0,Home,1100,17128439_2,1712843901_2,Thursday,Work,1,1,Work,14450.0,929319.0,525,1065,0,1,1823,WALK_LR,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
1828,360,57,839198.0,Home,1155,17128640_2,1712864001_2,Thursday,Work,1,1,Work,32326.0,80869.0,375,1120,0,2,1828,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1831,570,57,839198.0,Home,1320,17128640_2,1712864002_2,Thursday,Work,1,3,Work,16733.0,1185398.0,585,1080,0,1,1831,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
1856,675,30071,783402.0,Home,1315,17128839_2,1712883902_2,Thursday,Work,1,1,Work,34636.0,106061.0,730,1255,0,1,1856,WALK_LOC,,non_mandatory,11.0,11.0,non_mandatory,1,Work1,Work1
1910,401,9460,741767.0,Home,1021,17129562_2,1712956202_2,Thursday,Work,1,1,Work,17139.0,1004048.0,412,1007,0,1,1910,SHARED2FREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
1949,960,13571,654149.0,Home,970,17130048_2,1713004801_2,Thursday,othdiscr,1,1,other,34886.0,926611.0,965,965,0,0,1949,WALK,,non_mandatory,16.0,16.0,non_mandatory,4,othdiscr4,othdiscr4
1950,1160,13571,654149.0,Home,1170,17130048_2,1713004801_2,Thursday,othdiscr,1,1,other,34886.0,926611.0,1165,1165,0,0,1950,WALK,,non_mandatory,19.0,19.0,non_mandatory,5,othdiscr5,othdiscr5
1973,285,5761,763294.0,Home,975,17130406_2,1713040601_2,Thursday,Work,2,1,Work,23087.0,630658.0,420,960,0,1,1973,DRIVEALONEFREE,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
2009,487,11546,1146174.0,Home,1018,17130873_2,1713087301_2,Thursday,Work,1,1,Work,3190.0,698783.0,507,1005,0,1,2009,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2042,530,8573,1200936.0,Home,1115,17131906_2,1713190601_2,Thursday,Work,2,1,Work,9115.0,139629.0,560,1095,0,1,2042,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2047,400,27533,745047.0,Home,1005,17131930_2,1713193002_2,Thursday,Work,1,1,Work,57019.0,59937.0,440,960,0,1,2047,SHARED3FREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2052,425,28850,32869.0,Home,1150,17131958_2,1713195802_2,Thursday,Work,2,1,Work,11047.0,677158.0,455,1125,0,1,2052,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2078,485,21448,626655.0,Home,1030,17132421_2,1713242101_2,Thursday,Work,1,1,Work,30989.0,701322.0,505,1005,0,1,2078,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2084,360,56836,783468.0,Home,1155,17132518_2,1713251801_2,Thursday,Work,1,4,Work,319.0,775988.0,420,960,0,1,2084,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2118,557,19537,992154.0,Home,1110,17132805_2,1713280501_2,Thursday,Work,1,1,Work,20072.0,818953.0,571,1090,0,1,2118,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
2146,535,4352,1025549.0,Home,1080,17133117_2,1713311701_2,Thursday,Work,1,2,Work,12656.0,709135.0,565,1035,0,1,2146,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2159,603,28536,968367.0,Home,891,17133389_2,1713338902_2,Thursday,Work,1,1,Work,26908.0,947993.0,607,887,0,1,2159,DRIVEALONEFREE,,non_mandatory,10.0,10.0,non_mandatory,1,Work1,Work1
2196,480,12417,1086725.0,Home,1085,17134145_2,1713414501_2,Thursday,Work,2,2,Work,21002.0,1167599.0,530,1030,0,1,2196,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2280,500,2695,728619.0,Home,1013,17136079_2,1713607901_2,Thursday,Work,1,1,Work,2836.0,111682.0,549,963,0,1,2280,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2292,490,14449,1191455.0,Home,1270,17136200_2,1713620001_2,Thursday,Work,1,2,Work,30989.0,701322.0,505,1080,0,2,2292,WALK,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2315,544,35782,1184888.0,Home,1116,17136976_2,1713697602_2,Thursday,Work,1,1,Work,2076.0,1230053.0,557,1101,0,1,2315,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
2375,480,16188,686318.0,Home,1085,17137638_2,1713763802_2,Thursday,Work,2,1,Work,34645.0,679906.0,530,1050,0,1,2375,WALK_LR,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2395,590,65937,999578.0,Home,1170,17137982_2,1713798202_2,Thursday,Work,1,1,Work,17961.0,1143249.0,620,1130,0,1,2395,DRIVEALONEFREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
2456,538,7944,808040.0,Home,1116,17139073_2,1713907301_2,Thursday,Work,5,1,Work,11236.0,1204464.0,594,1093,0,1,2456,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2464,476,34194,1055509.0,Home,991,17139098_2,1713909801_2,Thursday,Work,1,1,Work,18756.0,62519.0,511,959,0,1,2464,DRIVEALONEFREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2466,392,34194,1238376.0,Home,988,17139098_2,1713909802_2,Thursday,Work,1,1,Work,16343.0,1114877.0,406,972,0,1,2466,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2472,500,1858,1082553.0,Home,1040,17139106_2,1713910603_2,Thursday,Work,1,1,Work,35799.0,1227765.0,510,1025,0,1,2472,SHARED2FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2525,320,20042,979839.0,Home,970,17139992_2,1713999201_2,Thursday,Work,1,1,Work,4159.0,1096205.0,360,930,0,1,2525,WALK_LR,,non_mandatory,5.0,5.0,non_mandatory,1,Work1,Work1
2534,540,16940,1193335.0,Home,1080,17140106_2,1714010601_2,Thursday,Work,1,1,Work,10316.0,65794.0,570,1050,0,2,2534,SHARED3FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
2547,515,3892,968909.0,Home,1065,17140500_2,1714050001_2,Thursday,Work,1,1,Work,30977.0,874752.0,545,1030,0,1,2547,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2556,360,34184,1087026.0,Home,940,17140699_2,1714069901_2,Thursday,Work,1,2,Work,10953.0,1006080.0,380,850,0,1,2556,SHARED2FREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2559,465,1342,1122329.0,Home,1040,17140778_2,1714077801_2,Thursday,Work,1,1,Work,30989.0,701322.0,525,975,0,1,2559,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2573,440,35782,58957.0,Home,1030,17141366_2,1714136601_2,Thursday,Work,1,1,Work,4147.0,706359.0,490,970,0,1,2573,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2575,445,12566,34321.0,Home,1060,17141431_2,1714143101_2,Thursday,Work,2,1,Work,8581.0,1110393.0,480,1020,0,1,2575,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2585,435,35782,58957.0,Home,1050,17141518_2,1714151801_2,Thursday,Work,1,1,Work,34645.0,679906.0,505,990,0,1,2585,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2616,390,32993,867860.0,Home,1065,17141942_2,1714194202_2,Thursday,Work,1,1,Work,15376.0,598877.0,450,990,0,1,2616,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2634,535,21671,1088994.0,Home,1070,17142200_2,1714220001_2,Thursday,Work,2,3,Work,18366.0,1244541.0,555,1004,0,1,2634,WALK_LR,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2659,510,19111,715330.0,Home,990,17142471_2,1714247101_2,Thursday,Work,1,1,Work,14668.0,851002.0,540,960,0,1,2659,DRIVEALONEFREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2696,416,11342,1092993.0,Home,1093,17142909_2,1714290901_2,Thursday,Work,1,1,Work,16191.0,1216113.0,461,1038,0,1,2696,WALK_LOC,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2779,495,2090,694719.0,Home,1065,17144198_2,1714419801_2,Thursday,Work,1,1,Work,61504.0,647172.0,520,1035,0,1,2779,SHARED3FREE,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2806,365,7704,84218.0,Home,1080,17144697_2,1714469701_2,Thursday,Work,2,1,Work,17961.0,1143249.0,510,1035,0,1,2806,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2849,510,19304,887617.0,Home,1005,17145958_2,1714595801_2,Thursday,Work,1,1,Work,24032.0,45867.0,545,955,0,1,2849,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,Work1,Work1
2853,1245,19304,887617.0,Home,1255,17145958_2,1714595801_2,Thursday,othdiscr,1,1,other,24574.0,969883.0,1250,1250,0,0,2853,WALK,,non_mandatory,20.0,20.0,non_mandatory,4,othdiscr4,othdiscr4
2861,368,43368,489844.0,Home,941,17146110_2,1714611001_2,Thursday,Work,1,2,Work,43803.0,563026.0,392,902,0,2,2861,BIKE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2875,450,30746,1032248.0,Home,1050,17146362_2,1714636202_2,Thursday,Work,1,2,Work,12656.0,709135.0,475,1005,0,1,2875,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2902,394,20618,990276.0,Home,1004,17146955_2,1714695502_2,Thursday,Work,1,1,Work,28158.0,579997.0,417,965,0,1,2902,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2980,460,12773,1176348.0,Home,1015,17148185_2,1714818502_2,Thursday,Work,1,1,Work,1769.0,666130.0,480,990,0,1,2980,SHARED2FREE,,non_mandatory,7.0,7.0,non_mandatory,1,Work1,Work1
2986,390,14645,646584.0,Home,1000,17148214_2,1714821402_2,Thursday,Work,1,1,Work,23736.0,1261055.0,400,990,0,1,2986,WALK,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2996,415,30985,142110.0,Home,935,17148459_2,1714845901_2,Thursday,Work,1,1,Work,30989.0,701322.0,420,930,0,1,2996,WALK,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
2998,540,30985,142110.0,Home,1090,17148459_2,1714845902_2,Thursday,Work,1,2,Work,34646.0,124976.0,555,960,0,1,2998,WALK,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
3009,368,1648,1172992.0,Home,965,17148836_2,1714883601_2,Thursday,Work,1,1,Work,18493.0,1106757.0,374,949,0,1,3009,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,Work1,Work1
3011,541,1648,1172992.0,Home,1089,17148836_2,1714883602_2,Thursday,Work,1,2,Work,27050.0,1195777.0,547,1064,0,1,3011,SHARED2FREE,,non_mandatory,9.0,9.0,non_mandatory,1,Work1,Work1
